,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Pyramidalization_C_MFF,Pyramidalization_H_max_MFF,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
132,-0.00391573,0.031426006,0.088264138,-0.017930555,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,10,0.0622905,18,10.1021/jo00045a004
133,0.018668804,0.002979656,0.090736832,-0.018648376,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,11,0.0985837,18,10.1021/jo00045a004
134,0.329671157,0.343432558,0.071043719,-0.776265086,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,12,0.1227975,18,10.1021/jo00045a004
135,0.345835977,0.247453788,0.096433999,-0.056669798,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,13,0.141192,18,10.1021/jo00045a004
136,0.095932137,0.156977354,0.102306555,-0.024313927,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,14,0.0641373,18,10.1021/jo00045a004
137,0.104140128,0.084338925,0.070515302,-0.021169993,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,15,0.0742543,18,10.1021/jo00045a004
138,0.003398122,0.070143823,0.115265154,-0.001851974,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,17,-0.0116342,18,10.1021/jo00045a004
139,0.294575859,0.170335216,0.096868725,-0.061079932,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,18,0.1526686,18,10.1021/jo00045a004
140,0.229397031,0.117998622,0.086185695,-0.049239475,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,19,0.1280872,18,10.1021/jo00045a004
141,-0.070330278,0.093196827,0.112327002,-0.000588855,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,20,-0.0272633,18,10.1021/jo00045a004
142,0.131789534,0.274141438,0.107166498,-0.02423588,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,21,0.0410964,18,10.1021/jo00045a004
143,-0.028472249,-0.059309692,0.107105786,-0.026559814,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,22,0.0596436,18,10.1021/jo00045a004
144,0.041904925,0.068413196,0.106535395,-0.027224235,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,23,0.0235085,18,10.1021/jo00045a004
145,0.089872661,0.177981018,0.085866396,-0.046422617,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,24,0.0698709,18,10.1021/jo00045a004
146,-0.248118899,-0.126178265,0.097535056,0.00452729,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,25,-0.0549403,18,10.1021/jo00045a004
147,-0.015783519,0.010422341,0.073299051,-0.011876826,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,27,0.0672048,18,10.1021/jo00045a004
